idx,needle_pixel_ratio,loss_bce,loss_dice,loss_focal,loss_combined,dice,iou,dice_testpy,iou_testpy
0,0.0172882080078125,0.687753438949585,0.9497278928756714,0.13779383897781372,1.7063782513141632,0.8507276507897183,0.7402315486684287,0.6742987981257591,0.5086355790080866
1,0.0081634521484375,0.6908411383628845,0.9770840406417847,0.13814271986484528,1.7369965389370918,0.799643811398358,0.6661721073202195,0.6074646079698011,0.4362292062176909
2,0.00860595703125,0.6916193962097168,0.974807858467102,0.13910023868083954,1.7359773740172386,0.7676447265918757,0.62290862339394,0.6290143968670937,0.45880452429918495
3,0.0084381103515625,0.6922632455825806,0.97660231590271,0.13904225826263428,1.7383866906166077,0.6514657982726607,0.4830917879390417,0.5198019807923243,0.35117056964687193
4,0.004852294921875,0.6917088031768799,0.9854618906974792,0.13846981525421143,1.7464056015014648,0.838995568923197,0.7226463111383046,0.7106796122122726,0.5512048206289012
5,0.00933837890625,0.6908472180366516,0.9745843410491943,0.13821764290332794,1.73454038053751,0.7178257396340321,0.559850374613653,0.5625000005063657,0.3913043488062732
6,0.009918212890625,0.6899948120117188,0.9703158140182495,0.1381799578666687,1.7294006049633026,0.851878100742822,0.7419753089605243,0.5352422912607464,0.3654135347888518
7,0.0135955810546875,0.689280092716217,0.9602541327476501,0.13824912905693054,1.7186587899923325,0.8359133127781665,0.7180851066329031,0.6870554767517386,0.523293608317125
8,0.0097198486328125,0.6912552118301392,0.9720509648323059,0.13877350091934204,1.732692927122116,0.739157762577525,0.5862412765840067,0.5464247603560034,0.3759177689046729
9,0.01031494140625,0.6908615827560425,0.9714823365211487,0.13848143815994263,1.7315846383571625,0.7496159756147343,0.5995086000006037,0.6234269122716098,0.45288326377934846
10,0.0079345703125,0.6899006962776184,0.9745230078697205,0.13807880878448486,1.7334631085395813,0.8870214753622581,0.7969798661124499,0.8193832601108114,0.6940298513171085
11,0.006378173828125,0.6907127499580383,0.9799304604530334,0.13822327554225922,1.7397548481822014,0.8831775702299327,0.7907949795171653,0.7932960896741674,0.6574074082004459
12,0.009033203125,0.6895201206207275,0.9717179536819458,0.13791155815124512,1.730193853378296,0.8874281019823927,0.7976366324997982,0.8035714287662982,0.6716417915893171
13,0.0159454345703125,0.688423216342926,0.9532239437103271,0.13814358413219452,1.7107189521193504,0.8495188102145588,0.7384030420240281,0.7302137494337299,0.5750682442447058
14,0.0052032470703125,0.6914401650428772,0.9843578338623047,0.13832271099090576,1.7449593544006348,0.8598382751215118,0.7541371164204796,0.7150635213882695,0.5564971763940758
15,0.0120086669921875,0.6890608072280884,0.963749885559082,0.13801100850105286,1.7218161970376968,0.8476017001532473,0.7355110645568903,0.7565084228510655,0.6083743847187507
16,0.0077362060546875,0.6920119524002075,0.9764666557312012,0.13939151167869568,1.7381743639707565,0.7559966916823848,0.6077127664791053,0.7181208056844286,0.5602094248512924
17,0.016845703125,0.6891495585441589,0.9511841535568237,0.13874757289886475,1.709707498550415,0.8198412699127614,0.6946872900506474,0.6303236799373517,0.4601990054227205
18,0.006134033203125,0.6913269758224487,0.9817067384719849,0.13841596245765686,1.742241695523262,0.8534278961543406,0.7443298974343714,0.6036484252012464,0.43230403935319706
19,0.0210113525390625,0.687048077583313,0.9410843253135681,0.13754582405090332,1.6969053149223328,0.8297802558774089,0.7090807176518606,0.3641686186392455,0.22261990034171802
20,0.00823974609375,0.6901575326919556,0.9747703075408936,0.13807976245880127,1.7339677214622498,0.8574007221503602,0.7503949451020617,0.785087719533895,0.6462093869201997
21,0.00244140625,0.6922547817230225,0.9922637939453125,0.13847766816616058,1.7537574097514153,0.8438356168662038,0.7298578211855079,0.7970479712286053,0.662576689186646
22,0.0068511962890625,0.6930487155914307,0.9809660911560059,0.13960248231887817,1.7438160479068756,0.7236467239091673,0.5669642863586841,0.5601092902184299,0.3889943085597831
23,0.0098876953125,0.6908905506134033,0.9707990288734436,0.1388070434331894,1.7310931012034416,0.8156808804568907,0.6887340305589617,0.7194899820405373,0.5618776677640431
24,0.0166473388671875,0.6869633197784424,0.9493592381477356,0.13753148913383484,1.7050883024930954,0.8749473684737064,0.7776946109448394,0.7782656422731802,0.6370170713054653
25,0.0122222900390625,0.6894165277481079,0.961374044418335,0.1386248618364334,1.7201030030846596,0.7886304910653072,0.651023891082744,0.8164948454869452,0.6898954707434432
26,0.00677490234375,0.690980076789856,0.9795905351638794,0.13831183314323425,1.7397265285253525,0.830309498580246,0.7098540151280036,0.661807580667919,0.494553378007509
27,0.0112457275390625,0.6903965473175049,0.9662467241287231,0.1386558711528778,1.725971207022667,0.7483940044173479,0.5979469635603533,0.6508355324091155,0.4823989576500666
28,0.01092529296875,0.6906418204307556,0.9647018313407898,0.13942036032676697,1.725053831934929,0.7798114255242311,0.6390909094190081,0.8144404333469745,0.6869671136577745
29,0.0050811767578125,0.6917502880096436,0.9842397570610046,0.13864201307296753,1.745311051607132,0.831788079692996,0.7120181412425892,0.7641996561717734,0.6183844021772023
30,0.010284423828125,0.6897067427635193,0.9685196280479431,0.13816852867603302,1.727310635149479,0.8399470900529451,0.7240592933591115,0.7068645642793463,0.5466284081110065
31,0.0058135986328125,0.6910840272903442,0.9818873405456543,0.13831570744514465,1.7421292215585709,0.8581907092198158,0.7516059962492377,0.7725856701361594,0.6294416253059857
32,0.00457763671875,0.6916797161102295,0.9861279726028442,0.13839399814605713,1.7470046877861023,0.7901591898839954,0.6531100486767702,0.7112970717336882,0.5519480534027661
33,0.00531005859375,0.691635251045227,0.9844817519187927,0.1383725106716156,1.7453032582998276,0.7696202534561769,0.6255144040627275,0.7321428576211735,0.5774647899226344
34,0.0091400146484375,0.6907126307487488,0.9731816649436951,0.13848668336868286,1.7331376373767853,0.8115942030502461,0.6829268296979312,0.6851851855090687,0.5211267613127907
35,0.0081787109375,0.6911023855209351,0.9758919477462769,0.13846299052238464,1.7362258285284042,0.7479674798610735,0.597402597877919,0.7352941179464999,0.5813953495860549
36,0.006744384765625,0.6933368444442749,0.9824038147926331,0.13951578736305237,1.7454985529184341,0.6557692311002218,0.48783977183427785,0.4683357887064274,0.3057692321042899
37,0.015045166015625,0.6886817216873169,0.9550745487213135,0.13823865354061127,1.712875597178936,0.8008968610758311,0.6679132388422488,0.7406955462228826,0.5881782949726954
38,0.0061187744140625,0.691344678401947,0.9820349812507629,0.13836704194545746,1.7425631806254387,0.8268292685038667,0.7047817053954643,0.6279069773622807,0.4576271199573193
39,0.008148193359375,0.6918584108352661,0.9759076833724976,0.13907498121261597,1.7373035848140717,0.714590747534099,0.555924695951357,0.6821192056488751,0.5175879405065529
40,0.0125885009765625,0.6897375583648682,0.9652833938598633,0.1379319131374359,1.7239869087934494,0.8619102417365304,0.7573306372524463,0.11818181918388429,0.06280193349903147
41,0.0115966796875,0.6936153173446655,0.9672431945800781,0.1407792866230011,1.7312481552362442,0.5966587114097095,0.4251700684182516,0.6095089636714661,0.43834080780455065
42,0.0059967041015625,0.6907544136047363,0.9813444018363953,0.13810746371746063,1.741152547299862,0.8888888890276044,0.8000000004494382,0.7798165140981399,0.6390977452654192
43,0.0078277587890625,0.6927050352096558,0.9810755252838135,0.13882866501808167,1.74319489300251,0.5907808094160104,0.41922563495430487,0.408104197672787,0.2563636377157025
44,0.0121612548828125,0.6896058320999146,0.9642852544784546,0.138240247964859,1.7230112105607986,0.8431151242420344,0.7287804880694824,0.517520216066918,0.3490909098798898
45,0.0078277587890625,0.6914467811584473,0.9761233925819397,0.13879039883613586,1.736965373158455,0.7205146535235778,0.5631284921082363,0.7694038247813231,0.6252285198807522
46,0.011260986328125,0.68902587890625,0.9657227993011475,0.1378745436668396,1.7236859500408173,0.8690476191342278,0.7684210529024316,0.7831031683321663,0.643524700075401
47,0.0029296875,0.6925278902053833,0.9919312000274658,0.1385500729084015,1.7537341266870499,0.7741935489474105,0.6315789488600042,0.610526317156048,0.4393939422252831
48,0.008026123046875,0.6935468912124634,0.9764816164970398,0.1401853859424591,1.7401212006807327,0.586040914809843,0.414468085604708,0.5238744890533772,0.35489833760647255
49,0.0125274658203125,0.6907976269721985,0.9622630476951599,0.13937918841838837,1.7227502688765526,0.7726136932670596,0.6294788276632908,0.5201716742316123,0.35150812140196275
50,0.003265380859375,0.6923046112060547,0.9903590679168701,0.1385689377784729,1.7519481480121613,0.8058455118875877,0.6748251759621497,0.6820809257743325,0.5175438617651585
51,0.0073394775390625,0.6926664710044861,0.9789251089096069,0.1394544243812561,1.741318792104721,0.7094220113147885,0.549693252086266,0.5521796571305421,0.3813868624427247
52,0.0102386474609375,0.6920520067214966,0.9721518158912659,0.1391633301973343,1.7337854877114296,0.7390476192133031,0.5861027194500477,0.596014493119552,0.4245161297748179
53,0.006103515625,0.6937285661697388,0.9826470613479614,0.140086367726326,1.7464188113808632,0.6431372552518262,0.4739884400664907,0.5106382986160513,0.3428571441982507
54,0.0071868896484375,0.6929477453231812,0.979874312877655,0.1396462321281433,1.7426451742649078,0.696060037808574,0.5338129503110605,0.5402455667936622,0.37009345912132063
55,0.0103302001953125,0.6894426345825195,0.9697144031524658,0.13777118921279907,1.7280426323413849,0.8674509804961169,0.7659279781635346,0.6946564888409765,0.5321637433740296
56,0.0057373046875,0.691400408744812,0.9828066229820251,0.1383863389492035,1.743400201201439,0.8226600987405663,0.6987447705047181,0.5259117091633173,0.3567708350084093
57,0.0201416015625,0.6873023509979248,0.9428251385688782,0.13770383596420288,1.6989794075489044,0.824843904099624,0.7019015661622474,0.7206364063076106,0.5632772497708286
58,0.01513671875,0.6909322738647461,0.9596810340881348,0.13897734880447388,1.7201019823551178,0.7510431155535267,0.6013363031912871,0.45790251147865396,0.2969348665738171
59,0.0190887451171875,0.6872113347053528,0.9438916444778442,0.13781997561454773,1.7000129669904709,0.8336215842844615,0.7147093714622127,0.7486785200631051,0.5983102921671963
60,0.013092041015625,0.6897741556167603,0.9645568132400513,0.13789555430412292,1.723278746008873,0.7952082146062703,0.6600378791098126,0.6584615387242603,0.49082568865730997
61,0.003021240234375,0.6921525001525879,0.9907312989234924,0.1384735405445099,1.7521205693483353,0.8662131522308092,0.764000000944,0.7575757583103765,0.6097560994646044
62,0.0091552734375,0.690954327583313,0.9737391471862793,0.13848702609539032,1.7339369878172874,0.8359317001960418,0.7181122452575099,0.16741405206664567,0.0913539982196509
63,0.0125579833984375,0.689552366733551,0.9620088338851929,0.13840728998184204,1.720764845609665,0.7865279842563011,0.648163265593336,0.7483870969545613,0.5979381447904488
